"","student_id","course_id","completion_date"
"1",29185,"ADI-S372",2021-04-30
"2",70941,"CJU-333",2021-04-30
"3",53742,"HST-290",2021-04-30
"4",30500,"PHIL-212",2021-04-30
"5",76350,"CAS-L281",2021-04-30
"6",98788,"BIO-H510",2021-04-29
"7",56094,"CJN-255",2021-04-29
"8",90389,"SPAN-301",2021-04-29
"9",76946,"HST-272",2021-04-28
"10",38657,"HST-H465",2021-04-28
"11",17872,"PHIL-223",2021-04-28
"12",57390,"POLS-H245",2021-04-27
"13",18094,"ADPR-4478",2021-04-27
"14",41038,"CJU-210",2021-04-27
"15",65247,"SOC-H555",2021-04-27
"16",29746,"ADI-244",2021-04-26
"17",44209,"POLS-525",2021-04-26
"18",61414,"PHIL-H510",2021-04-26
"19",25648,"CHEM-428",2021-04-26
"20",76379,"CJU-275",2021-04-26
"21",29940,"BIO-105",2021-04-25
"22",56070,"HST-359",2021-04-25
"23",42812,"WGS-510",2021-04-25
"24",69604,"POLS-367",2021-04-25
"25",97258,"EC-510",2021-04-25
"26",88187,"BIO-233",2021-04-25
"27",89111,"CHEM-428",2021-04-24
"28",44209,"UES-410",2021-04-23
"29",48621,"ENG-395",2021-04-23
"30",45739,"BLKST-225",2021-04-23
"31",14192,"CI-H149",2021-04-22
"32",78230,"HST-101",2021-04-22
"33",86716,"POLS-H533",2021-04-22
"34",97013,"CAS-H555",2021-04-22
"35",56094,"CAS-H231",2021-04-22
"36",87225,"POLS-H438",2021-04-22
"37",76413,"ADPR-435",2021-04-22
"38",89498,"WGS-235",2021-04-22
"39",76350,"ALS-510",2021-04-22
"40",79067,"PSYCH-312",2021-04-21
"41",50187,"CI-H102",2021-04-21
"42",56094,"UES-L255",2021-04-21
"43",64917,"UES-503",2021-04-21
"44",88011,"ENG-361",2021-04-20
"45",81536,"LAWU-345",2021-04-20
"46",27820,"ADG-S207",2021-04-20
"47",46163,"ENG-H130",2021-04-20
"48",93877,"ADF-S171",2021-04-20
"49",68226,"CI-115",2021-04-20
"50",15345,"PSYCH-114",2021-04-19
"51",85232,"ENG-H170",2021-04-19
"52",56089,"PSYCH-H550",2021-04-19
"53",67539,"PSYCH-400",2021-04-18
"54",50335,"PHYS-213",2021-04-18
"55",25208,"CI-131",2021-04-18
"56",80975,"CJN-506",2021-04-17
"57",76379,"PHYS-333",2021-04-17
"58",83499,"ENG-130",2021-04-17
"59",67539,"BIO-H105",2021-04-16
"60",18094,"ADI-223",2021-04-16
"61",80051,"RAD-206",2021-04-16
"62",53188,"PHIL-229",2021-04-16
"63",91764,"POLS-510",2021-04-16
"64",89498,"ADFA-400",2021-04-16
"65",71984,"CI-106",2021-04-15
"66",40058,"SOC-483",2021-04-15
"67",53188,"PSYCH-348",2021-04-15
"68",69604,"WRI-L101",2021-04-15
"69",76379,"SPAN-305",2021-04-15
"70",41429,"CJU-210",2021-04-15
"71",97258,"SOC-273",2021-04-14
"72",80243,"ENG-370",2021-04-14
"73",89727,"WGS-230",2021-04-13
"74",71984,"SPAN-301",2021-04-13
"75",99722,"SOC-113",2021-04-13
"76",10446,"ADG-S360",2021-04-13
"77",46163,"ENG-153",2021-04-12
"78",32229,"WGS-113",2021-04-12
"79",53742,"HST-289",2021-04-11
"80",80975,"UES-410",2021-04-11
"81",56089,"ENG-354",2021-04-11
"82",68226,"PHIL-210",2021-04-11
"83",24856,"RAD-L415",2021-04-11
"84",97400,"POLS-225",2021-04-10
"85",53188,"CI-135",2021-04-10
"86",26942,"THETR-323",2021-04-10
"87",19293,"SCI-103",2021-04-10
"88",30957,"CJN-466",2021-04-10
"89",89498,"CMPSC-F120",2021-04-10
"90",95820,"ENG-312",2021-04-10
"91",12893,"SCI-L103",2021-04-09
"92",87271,"ENG-371",2021-04-09
"93",42621,"CJU-333",2021-04-09
"94",46163,"SCI-H106",2021-04-09
"95",38768,"CAS-263",2021-04-09
"96",92039,"SPAN-390",2021-04-09
"97",49245,"MUH-227",2021-04-09
"98",43534,"SPAN-H555",2021-04-08
"99",59472,"ADPR-229",2021-04-08
"100",35855,"ENG-352",2021-04-08
"101",80051,"RAD-323",2021-04-08
"102",19989,"HST-321",2021-04-08
"103",56070,"BIO-240",2021-04-07
"104",61414,"MATH-275",2021-04-07
"105",57575,"EC-410",2021-04-07
"106",89727,"POLS-404",2021-04-06
"107",80093,"FR-510",2021-04-06
"108",12893,"PHIL-319",2021-04-06
"109",32092,"LAWU-340",2021-04-06
"110",63888,"WGS-H325",2021-04-05
"111",39025,"ADPR-437",2021-04-05
"112",76946,"LAWU-330",2021-04-05
"113",47461,"ADFA-400",2021-04-05
"114",42621,"CJU-338",2021-04-05
"115",56094,"ENG-356",2021-04-05
"116",43534,"RAD-301",2021-04-04
"117",25648,"BIO-L403",2021-04-04
"118",82746,"HST-426",2021-04-04
"119",27820,"BIO-L204",2021-04-04
"120",97013,"STATS-240",2021-04-03
"121",80243,"CJN-220",2021-04-03
